date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:13	17264/17264	------	200	untouched ('')	application/x-font-woff	etag:%224370-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-700.woff	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-700.woff	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	34908/34908	------	200	untouched ('')	application/x-font-ttf	etag:%22885c-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-700.ttf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-700.ttf	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:33:32%20GMT	https://www.navyfederal.org/mygoprepaid	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/mygoprepaid.e3.delayed	(from https://www.navyfederal.org/checking-savings/cards.html)
01:46:13	16159/16159	------	200	untouched ('')	application/vnd.ms-fontobject	date:Mon,%2028%20Aug%202023%2020:17:34%20GMT	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-600.eot?	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-600d41d.eot	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	17380/17380	------	200	untouched ('')	application/x-font-woff	etag:%2243e4-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-600.woff	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-600.woff	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	34808/34808	------	200	untouched ('')	application/x-font-ttf	etag:%2287f8-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-600.ttf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-600.ttf	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	15878/15878	------	200	untouched ('')	application/vnd.ms-fontobject	date:Mon,%2028%20Aug%202023%2020:17:34%20GMT	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-italic.eot?	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-italicd41d.eot	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	17288/17288	------	200	untouched ('')	application/x-font-woff	etag:%224388-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-italic.woff	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-italic.woff	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	33864/33864	------	200	untouched ('')	application/x-font-ttf	etag:%228448-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-italic.ttf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/source-sans/source-sans-pro-v9-latin-italic.ttf	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	16045/16045	------	200	untouched ('')	application/vnd.ms-fontobject	date:Mon,%2028%20Aug%202023%2020:17:34%20GMT	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700.eot?	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700d41d.eot	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	18900/18900	------	200	untouched ('')	application/x-font-woff	etag:%2249d4-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700.woff	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700.woff	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
01:46:13	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:33:39%20GMT	https://www.navyfederal.org/financial-group	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/financial-group.f6.delayed	(from https://www.navyfederal.org/investment-services/investments.html)
01:46:13	28848/28848	------	200	untouched ('')	application/x-font-ttf	etag:%2270b0-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700.ttf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700.ttf	(from https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-basePage.lc-6b2d932eda6804859b9739395c22d61c-lc.min.css)
